student_id,day,semester,late_or_not
11,W8F,Fall,not late
11,W9M,Fall,not late
11,W9F,Fall,not late
11,W10M,Fall,not late
11,W10W,Fall,not late
11,W10F,Fall,not late
11,W11M,Fall,not late
11,W11W,Fall,not late
11,W11F,Fall,not late
11,W12M,Fall,not late
11,W12W,Fall,not late
11,W12F,Fall,not late
11,W13M,Fall,not late
11,W13W,Fall,not late
11,W14M,Fall,not late
11,W14W,Fall,not late
12,W0W,Fall,not late
12,W0F,Fall,not late
12,W1M,Fall,not late
12,W1W,Fall,not late
12,W1F,Fall,not late
12,W2M,Fall,not late
12,W2W,Fall,not late
12,W2F,Fall,not late
12,W3M,Fall,not late
12,W3W,Fall,not late
12,W3F,Fall,not late
12,W4M,Fall,not late
12,W4W,Fall,not late
12,W4F,Fall,not late
12,W5M,Fall,not late
12,W5F,Fall,late
12,W6M,Fall,not late
12,W6W,Fall,not late
12,W6F,Fall,not late
12,W7M,Fall,not late
12,W7W,Fall,not late
12,W8W,Fall,not late
12,W8F,Fall,not late
12,W9M,Fall,not late
12,W9F,Fall,late
12,W10M,Fall,not late
