major1,major2,major3,minor1,minor2,minor3
GOVT,NA,NA,EDUCS,NA,NA
MATH,NA,NA,CLAS,NA,NA
BIOL,PUB,NA,NA,NA,NA
GS,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
GS,NA,NA,NA,PUB,HISP
ENVS,NA,NA,OUTDR,GEOL,NA
CONBI,HISP,NA,CLAS,NA,NA
PHYS,MATH,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ENG,BUSLA,NA,PHIL,NA,NA
POLS,NA,NA,CNS,NA,NA
BIMED,NA,NA,PCA,NA,NA
ECON,NA,NA,SOC,NA,NA
DMF,NA,NA,SOC,NA,NA
PCA,NA,NA,NA,NA,NA
PSYC,PUB,NA,HISP,NA,NA
ENG,NA,NA,EDUCS,NA,NA
DATA,NA,NA,NA,NA,NA
GS,PUB,NA,NA,NA,NA
MATH,CS,NA,STATS,NA,NA
EC_MA,NA,NA,NA,NA,NA
ECON,NA,NA,AS,CHIN,NA
FINC,NA,NA,NA,NA,NA
PSYC,BUSLA,NA,EUR,NA,NA
PSYC,NA,NA,EDUCS,ART,NA
PSYC,HIST,NA,AFAMS,NA,NA
PCA,BUSLA,NA,NA,NA,NA
BIMED,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
ART,ANTH,NA,EDUCS,NA,NA
POLS,DMF,NA,NA,NA,NA
DATA,FINC,NA,NA,NA,NA
EN_GO,REL,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
HIST,REL,NA,NA,NA,NA
STAT,NA,NA,FRST,NA,NA
ART,BUSLA,NA,OUTDR,DMF,NA
STAT,NA,NA,NA,NA,NA
MATH,CS,NA,NA,NA,NA
CS,NA,NA,MATH,NA,NA
CONBI,NA,NA,GNDR,NA,NA
PSYC,HISP,NA,CLAS,EUR,NA
ENG,BUSLA,NA,FRST,NA,NA
NRSCI,NA,NA,NA,NA,NA
PSYC,NA,NA,PHIL,NA,NA
NRSCI,NA,NA,CHEM,NA,NA
POLS,NA,NA,SOC,PHIL,NA
BIMED,NA,NA,PUB,NA,NA
BIMED,PUB,NA,NA,NA,NA
PSYC,NA,NA,GNDR,NA,NA
ENVS,NA,NA,PUB,EUR,NA
MATH,NA,NA,STATS,AS,NA
PSYC,GS,NA,EDUCS,NA,NA
BIOL,BUSLA,NA,PUB,NA,NA
GEOL,NA,NA,NA,NA,NA
FINC,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,GNDR,NA,NA
BIOL,NA,NA,SSES,NA,NA
DATA,ECON,NA,NA,NA,NA
PSYC,SOC,NA,NA,NA,NA
MATH,ART,NA,CS,NA,NA
GS,NA,NA,ART,NA,NA
HIST,NA,NA,POLS,HISP,NA
PSYC,PCA,NA,NA,NA,NA
GOVT,HIST,NA,NA,NA,NA
MATH,ECON,NA,NA,NA,NA
BIMED,NA,NA,NA,NA,NA
PSYC,POLS,NA,PHIL,GNDR,NA
BIMED,NA,NA,PUB,NA,NA
ECON,NA,NA,NA,NA,NA
STAT,NA,NA,CHEM,NA,NA
PCA,HIST,NA,EUR,EDUCS,NA
DMF,NA,NA,GNDR,NA,NA
